ID,Grupo,Estado_Participacion,Nota_Practica,Nota_Intervenciones,Nota_Exposicion,Asistencia,Eval_Continua,Examen_Parcial,Nota_Final,Peer_Influence,Teacher_Encouragement
98,Seccion C,A_veces,11.0,10.5,11.5,74.0,12.0,11.0,11.5,3,5.3
99,Seccion A,Casi_siempre,18.5,19.0,18.0,99.0,18.7,18.5,18.6,4,9.4
100,Seccion B,Rara_vez,9.2,7.5,8.0,64.0,10.2,9.2,9.7,2,4.2
101,Seccion C,A_veces,12.0,11.0,12.5,76.0,12.6,12.0,12.3,3,5.6
102,Seccion A,Nunca,5.5,3.0,4.0,45.0,7.4,5.5,6.4,1,2.0
103,Seccion B,Casi_siempre,15.8,14.5,14.0,89.0,16.0,15.8,15.9,4,7.9
104,Seccion C,A_veces,13.8,12.0,13.5,83.0,14.2,13.8,14.0,3,6.5
105,Seccion A,Casi_siempre,16.5,17.0,16.0,94.0,16.7,16.5,16.6,4,8.5
106,Seccion B,Rara_vez,8.0,6.5,7.0,61.0,9.7,8.0,8.8,2,3.8
107,Seccion C,Nunca,5.0,3.0,4.5,42.0,7.2,5.0,6.1,1,1.8
108,Seccion A,A_veces,11.5,10.0,11.0,75.0,12.1,11.5,11.8,3,5.4
109,Seccion B,Casi_siempre,17.0,16.0,15.5,95.0,17.2,17.0,17.1,4,8.6
110,Seccion C,Rara_vez,8.8,7.0,8.0,62.0,10.0,8.8,9.4,2,4.0
111,Seccion A,A_veces,12.5,11.5,12.0,79.0,13.0,12.5,12.7,3,5.9
112,Seccion B,Nunca,6.2,4.0,4.8,52.0,7.9,6.2,7.0,1,2.3
113,Seccion C,Casi_siempre,16.0,15.0,15.0,90.0,16.2,16.0,16.1,4,8.0
114,Seccion A,Rara_vez,9.0,7.5,8.5,65.0,10.2,9.0,9.6,2,4.2
115,Seccion B,A_veces,13.2,12.0,12.0,80.0,13.4,13.2,13.3,3,6.2
116,Seccion C,Nunca,5.5,3.0,4.0,45.0,7.4,5.5,6.4,1,2.0
117,Seccion A,Casi_siempre,15.5,16.0,15.5,92.0,16.1,15.5,15.8,4,8.2
118,Seccion B,A_veces,12.8,11.5,12.0,78.0,13.1,12.8,12.9,3,6.0
119,Seccion C,Casi_siempre,17.5,16.5,17.0,97.0,17.8,17.5,17.6,4,8.9
120,Seccion A,Rara_vez,8.5,7.0,7.5,59.0,9.8,8.5,9.1,2,3.9
121,Seccion B,Nunca,5.0,3.5,4.0,46.0,7.3,5.0,6.1,1,1.9
122,Seccion C,A_veces,11.0,10.0,11.5,73.0,11.8,11.0,11.4,3,5.2
123,Seccion A,Casi_siempre,18.0,18.5,17.5,98.0,18.2,18.0,18.1,4,9.2
124,Seccion B,Rara_vez,9.0,7.0,8.0,63.0,10.1,9.0,9.5,2,4.1
125,Seccion C,A_veces,12.5,11.0,12.0,77.0,12.7,12.5,12.6,3,5.7
126,Seccion A,Nunca,5.8,3.0,4.2,47.0,7.5,5.8,6.6,1,2.0
127,Seccion B,Casi_siempre,15.0,14.5,14.0,88.0,15.4,15.0,15.2,4,7.8
128,Seccion C,A_veces,13.5,12.5,13.0,82.0,13.9,13.5,13.7,3,6.4
129,Seccion A,Casi_siempre,16.0,17.0,16.5,93.0,16.5,16.0,16.2,4,8.4
130,Seccion B,Rara_vez,8.0,6.5,7.0,60.0,9.6,8.0,8.8,2,3.8
131,Seccion C,Nunca,5.2,3.0,4.0,44.0,7.3,5.2,6.2,1,1.8
132,Seccion A,A_veces,11.8,10.0,11.0,76.0,12.2,11.8,12.0,3,5.5
133,Seccion B,Casi_siempre,17.5,16.5,16.0,95.0,17.4,16.5,16.9,4,8.6
134,Seccion C,Rara_vez,8.5,7.0,8.5,62.0,10.1,8.5,9.3,2,4.0
135,Seccion A,A_veces,12.0,11.5,12.0,79.0,12.7,12.0,12.3,3,5.8
136,Seccion B,Nunca,6.0,4.0,4.5,50.0,7.7,6.0,6.8,1,2.2
137,Seccion C,Casi_siempre,16.2,15.0,15.5,90.0,16.3,16.2,16.2,4,8.0
138,Seccion A,Rara_vez,9.5,8.0,8.5,65.0,10.3,9.5,9.9,2,4.3
139,Seccion B,A_veces,13.0,12.0,12.5,80.0,13.5,13.0,13.2,3,6.2
140,Seccion C,Nunca,5.0,3.5,4.0,43.0,7.2,5.0,6.1,1,1.9
141,Seccion A,Casi_siempre,15.5,16.5,15.0,92.0,16.1,15.5,15.8,4,8.2
142,Seccion B,A_veces,12.5,11.0,12.0,78.0,12.9,12.5,12.7,3,5.9
143,Seccion C,Casi_siempre,17.0,16.0,16.5,96.0,17.2,17.0,17.1,4,8.7
144,Seccion A,Rara_vez,8.0,6.0,7.5,58.0,9.7,8.0,8.8,2,3.7
145,Seccion B,Nunca,5.8,3.5,4.5,48.0,7.6,5.8,6.7,1,2.1
146,Seccion C,A_veces,11.0,10.5,11.5,74.0,12.0,11.0,11.5,3,5.3
147,Seccion A,Casi_siempre,18.5,19.0,18.0,99.0,18.7,18.5,18.6,4,9.4
148,Seccion B,Rara_vez,9.2,7.5,8.0,64.0,10.2,9.2,9.7,2,4.2
149,Seccion C,A_veces,12.0,11.0,12.5,76.0,12.6,12.0,12.3,3,5.6
150,Seccion A,Nunca,5.5,3.0,4.0,45.0,7.4,5.5,6.4,1,2.0
151,Seccion B,Casi_siempre,15.8,14.5,14.0,89.0,16.0,15.8,15.9,4,7.9
152,Seccion C,A_veces,13.8,12.0,13.5,83.0,14.2,13.8,14.0,3,6.5
153,Seccion A,Casi_siempre,16.5,17.0,16.0,94.0,16.7,16.5,16.6,4,8.5
154,Seccion B,Rara_vez,8.0,6.5,7.0,61.0,9.7,8.0,8.8,2,3.8
155,Seccion C,Nunca,5.0,3.0,4.5,42.0,7.2,5.0,6.1,1,1.8
156,Seccion A,A_veces,11.5,10.0,11.0,75.0,12.1,11.5,11.8,3,5.4
157,Seccion B,Casi_siempre,17.0,16.0,15.5,95.0,17.2,17.0,17.1,4,8.6
158,Seccion C,Rara_vez,8.8,7.0,8.0,62.0,10.0,8.8,9.4,2,4.0
159,Seccion A,A_veces,12.5,11.5,12.0,79.0,13.0,12.5,12.7,3,5.9
160,Seccion B,Nunca,6.2,4.0,4.8,52.0,7.9,6.2,7.0,1,2.3
161,Seccion C,Casi_siempre,16.0,15.0,15.0,90.0,16.2,16.0,16.1,4,8.0
162,Seccion A,Rara_vez,9.0,7.5,8.5,65.0,10.2,9.0,9.6,2,4.2
163,Seccion B,A_veces,13.2,12.0,12.0,80.0,13.4,13.2,13.3,3,6.2
164,Seccion C,Nunca,5.5,3.0,4.0,45.0,7.4,5.5,6.4,1,2.0
165,Seccion A,Casi_siempre,15.5,16.0,15.5,92.0,16.1,15.5,15.8,4,8.2
166,Seccion B,A_veces,12.8,11.5,12.0,78.0,13.1,12.8,12.9,3,6.0
167,Seccion C,Casi_siempre,17.5,16.5,17.0,97.0,17.8,17.5,17.6,4,8.9
168,Seccion A,Rara_vez,8.5,7.0,7.5,59.0,9.8,8.5,9.1,2,3.9
169,Seccion B,Nunca,5.0,3.5,4.0,46.0,7.3,5.0,6.1,1,1.9
170,Seccion C,A_veces,11.0,10.0,11.5,73.0,11.8,11.0,11.4,3,5.2
171,Seccion A,Casi_siempre,18.0,18.5,17.5,98.0,18.2,18.0,18.1,4,9.2
172,Seccion B,Rara_vez,9.0,7.0,8.0,63.0,10.1,9.0,9.5,2,4.1
173,Seccion C,A_veces,12.5,11.0,12.0,77.0,12.7,12.5,12.6,3,5.7
174,Seccion A,Nunca,5.8,3.0,4.2,47.0,7.5,5.8,6.6,1,2.0
175,Seccion B,Casi_siempre,15.0,14.5,14.0,88.0,15.4,15.0,15.2,4,7.8
176,Seccion C,A_veces,13.5,12.5,13.0,82.0,13.9,13.5,13.7,3,6.4
177,Seccion A,Casi_siempre,16.0,17.0,16.5,93.0,16.5,16.0,16.2,4,8.4
178,Seccion B,Rara_vez,8.0,6.5,7.0,60.0,9.6,8.0,8.8,2,3.8
179,Seccion C,Nunca,5.2,3.0,4.0,44.0,7.3,5.2,6.2,1,1.8
180,Seccion A,A_veces,11.8,10.0,11.0,76.0,12.2,11.8,12.0,3,5.5
181,Seccion B,Casi_siempre,17.5,16.5,16.0,95.0,17.4,16.5,16.9,4,8.6
182,Seccion C,Rara_vez,8.5,7.0,8.5,62.0,10.1,8.5,9.3,2,4.0
183,Seccion A,A_veces,12.0,11.5,12.0,79.0,12.7,12.0,12.3,3,5.8
184,Seccion B,Nunca,6.0,4.0,4.5,50.0,7.7,6.0,6.8,1,2.2
185,Seccion C,Casi_siempre,16.2,15.0,15.5,90.0,16.3,16.2,16.2,4,8.0
186,Seccion A,Rara_vez,9.5,8.0,8.5,65.0,10.3,9.5,9.9,2,4.3
187,Seccion B,A_veces,13.0,12.0,12.5,80.0,13.5,13.0,13.2,3,6.2
188,Seccion C,Nunca,5.0,3.5,4.0,43.0,7.2,5.0,6.1,1,1.9
189,Seccion A,Casi_siempre,15.5,16.5,15.0,92.0,16.1,15.5,15.8,4,8.2
190,Seccion B,A_veces,12.5,11.0,12.0,78.0,12.9,12.5,12.7,3,5.9
191,Seccion C,Casi_siempre,17.0,16.0,16.5,96.0,17.2,17.0,17.1,4,8.7
192,Seccion A,Rara_vez,8.0,6.0,7.5,58.0,9.7,8.0,8.8,2,3.7
193,Seccion B,Nunca,5.8,3.5,4.5,48.0,7.6,5.8,6.7,1,2.1
194,Seccion C,A_veces,11.0,10.5,11.5,74.0,12.0,11.0,11.5,3,5.3
195,Seccion A,Casi_siempre,18.5,19.0,18.0,99.0,18.7,18.5,18.6,4,9.4
196,Seccion B,Rara_vez,9.2,7.5,8.0,64.0,10.2,9.2,9.7,2,4.2
197,Seccion C,A_veces,12.0,11.0,12.5,76.0,12.6,12.0,12.3,3,5.6
198,Seccion A,Nunca,5.5,3.0,4.0,45.0,7.4,5.5,6.4,1,2.0
199,Seccion B,Casi_siempre,15.8,14.5,14.0,89.0,16.0,15.8,15.9,4,7.9
200,Seccion C,A_veces,13.8,12.0,13.5,83.0,14.2,13.8,14.0,3,6.5
